,Deal_value,Weighted_amount,Level_of_meeting_Demo_call,Level_of_meeting_Pre-sales_call,Pitch_Product_2,Geography_USA,Lead_revenue_50 - 100 Million,Lead_revenue_500 Million - 1 Billion,Lead_source_Marketing Event,Lead_source_Others,Lead_source_Website,Fund_category_Category 2,Fund_category_Category 3,Fund_category_Category 4,Resource_Deliverable,Resource_No,Resource_Not enough,Resource_We have all the requirements,Resource_Yes,Designation_CEO/Chairman/President,Designation_CEO/Co-Founder/Chairman,Designation_CEO/President,Designation_Chairman/CEO/President,Designation_Chairman/Chief Innovation Officer,Designation_Chief Executive Officer,Designation_Executive Vice President,Designation_SVP/General Counsel ,Designation_Vice President / GM (04-present) : VP Sales and Marketing (01-04),Last_lead_update_5 days back,Last_lead_update_?,Last_lead_update_Did not hear back after Level 1,Last_lead_update_Following up but lead not responding,Last_lead_update_More than 2 weeks,Last_lead_update_More than a week back,Last_lead_update_No track,Last_lead_update_Pending,Last_lead_update_Up-to-date,Last_lead_update_more than a month,"Internal_POC_Ali,Mohamed","Internal_POC_Anthony,Katherine D","Internal_POC_Bannister,Joan","Internal_POC_Booker,David L","Internal_POC_Brown,Maxine A","Internal_POC_Carter Sr,Clifton E","Internal_POC_Cash,Tyrone J","Internal_POC_Cashin,Marc C","Internal_POC_Charles,Caleb","Internal_POC_Clavey,Therese A","Internal_POC_Davis,Brian R","Internal_POC_Davis,Sharrice A","Internal_POC_Dimattia,Frank D","Internal_POC_Dunaway,Antoine","Internal_POC_Dyson,William A","Internal_POC_Featherstone,Adrian R","Internal_POC_Gaskins Jr,Franklin D","Internal_POC_Georgakopoulos,Vasilios T","Internal_POC_Gilley,Janine","Internal_POC_Gould,Lisa D","Internal_POC_Green,Ann E","Internal_POC_Green,Candy","Internal_POC_Hameier,Kurt E","Internal_POC_Hanyok,John J","Internal_POC_Hebron,Artenia D","Internal_POC_Heidelberg,Andre D","Internal_POC_Himes,Maurice C","Internal_POC_Houston,Arnold E","Internal_POC_Irizarry,Yolanda","Internal_POC_Jones,Eyvette W","Internal_POC_Jones,Michael L","Internal_POC_Kiepea,Prince A","Internal_POC_Knox,Antonio D","Internal_POC_Leu,Darren L","Internal_POC_Logan,Kevin N","Internal_POC_Mabrey,Kevin C","Internal_POC_Maine,John P","Internal_POC_Massiah,Gerard F","Internal_POC_McKenstry,Loretta A","Internal_POC_Meli,Teresa V","Internal_POC_Moran,Natalie A","Internal_POC_Morsy,Omar A","Internal_POC_Murray,Younetta","Internal_POC_Pappas,Mark S","Internal_POC_Robinson,John C","Internal_POC_Rocks,Michael J","Internal_POC_Ross,Eric L","Internal_POC_Ryker,David","Internal_POC_Salyers,Daniel L","Internal_POC_Shelton,Sidney P","Internal_POC_Smith,Keenan H","Internal_POC_Sutton,Michelle R","Internal_POC_Thomas,Lori E","Internal_POC_Tondeur,Keith D","Internal_POC_Turner,Marlon D","Internal_POC_Ullrich,Rose Anne","Internal_POC_Van Arter,Derrick","Internal_POC_Vickers Jr.,Henry J","Internal_POC_Young,Valerie K",Success_probability
0,200988.0,1556916.6734136718,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.110443
1,409961.0,2541758.2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65.368706
2,434433.0,3041031.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.94126
3,218952.0,1521716.4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.660088
4,392835.0,2455218.75,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.77467
5,7947.0,53642.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.41749
6,300288.0,1711641.6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62.535767
7,141187.0,854181.35,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.350346
8,473217.0,2933945.4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.9063
9,452127.0,3029250.9,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.07481
